words,links,capital_words,spam_word_count,is_spam
112,1,2,0,0
135,0,3,0,1
53,1,3,2,0
94,0,0,0,0
111,2,7,3,1
35,0,1,0,0
71,6,14,5,1
157,0,5,4,0
408,0,24,8,1
239,1,0,2,0
165,0,1,1,0
29,1,3,2,0
245,0,0,0,0
360,2,27,8,1
91,2,2,2,0
545,7,19,3,1
863,2,22,10,1
118,4,6,10,1
345,0,1,1,0
868,10,16,5,1
753,8,11,8,1
272,0,3,0,0
962,10,24,3,1
735,7,16,2,1
274,4,0,2,0
325,1,0,2,0
152,2,1,2,0
155,2,25,8,1
956,6,5,7,1
265,4,2,0,0
173,1,7,2,1
217,3,18,9,1
754,2,12,5,1
94,1,2,0,0
574,4,27,8,1
230,0,3,2,0
613,8,12,8,1
89,1,3,2,0
705,2,5,10,1
97,2,6,8,1
170,0,2,1,0
891,9,28,0,1
116,3,30,3,1
596,1,3,5,1
802,10,30,8,1
559,10,21,10,1
66,2,29,3,1
333,10,7,10,1
232,0,4,8,1
97,1,2,0,0
154,2,23,9,1
218,2,5,0,0
579,3,9,7,1
97,7,4,6,1
497,1,8,1,0
100,0,3,1,0
199,2,14,6,1
82,0,24,6,1
160,3,2,9,1
194,2,5,1,0
158,10,26,4,1
127,2,26,7,1
218,1,6,2,0
114,0,0,3,0
546,0,22,7,1
426,10,29,2,1
74,2,0,8,1
203,2,3,1,0
873,2,16,7,1
239,2,7,2,0
157,2,13,5,1
91,3,0,5,0
237,8,10,3,1
914,10,5,10,1
181,0,2,2,0
352,0,3,0,0
206,0,2,2,0
208,4,1,2,0
749,4,1,10,1
46,1,0,2,0
284,9,26,0,1
450,1,7,0,0
31,1,0,0,0
49,0,0,0,0
503,5,20,6,1
393,4,6,9,1
279,5,2,2,0
200,1,5,1,0
339,2,1,2,0
755,9,6,6,1
200,1,18,6,1
155,2,1,1,0
176,8,24,1,1
958,7,26,7,1
105,1,2,2,0
91,0,1,0,0
869,5,24,3,1
244,2,2,4,0
416,3,5,8,1
268,5,5,6,1
125,2,2,2,0
745,2,5,7,1
137,2,2,0,0
68,1,3,0,0
892,7,24,8,1
278,0,2,1,0
